lead_id,name,phone,email,city,country,type,notes
7ec54afa-bbfd-43ac-bd40-97499152c01a,Owner 6734,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
1bb2f075-cccd-45b4-b64f-cc704a946e8f,Owner 9834,+91XXXXXXXXXX,,London,IN,Seller,Generated
51fd1d46-c585-4499-b71a-47e465b43979,Owner 524,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
490ad1b4-0018-4a78-8c5d-4eae9de3be10,Owner 2125,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
5fe0caec-721f-4627-bf3e-42978206cf22,Owner 927,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
5f0f1fd0-e338-49f0-a1e9-1bb8eefec10f,Owner 5680,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
094dddf7-c0ac-4b8c-835c-e76f3624e8c5,Owner 2197,+91XXXXXXXXXX,,London,IN,Seller,Generated
13ee02ce-1774-480a-90d2-5e3b6b2a544b,Owner 8024,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
8c6219ae-2753-40d7-aaed-f0e8fc11931b,Owner 6203,+91XXXXXXXXXX,,New York,IN,Seller,Generated
f94dcce3-ac3b-44a0-b41f-b5df0f67a0f3,Owner 1056,+91XXXXXXXXXX,,New York,IN,Seller,Generated
f71e00d2-b82a-47d2-a7fc-aac417d705f3,Owner 5233,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
95e1c322-1081-40a7-af89-2545d057b95a,Owner 5805,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
719d2b1d-915d-4566-8443-fa9d43cc0227,Owner 5775,+91XXXXXXXXXX,,New York,IN,Seller,Generated
5a74cfb9-b80f-4280-8e7c-7dc78b082dbc,Owner 8779,+91XXXXXXXXXX,,London,IN,Seller,Generated
b116645f-b13b-4ffb-8b06-e7a1dd18186a,Owner 4497,+91XXXXXXXXXX,,London,IN,Seller,Generated
bb0ce5f6-deaa-40d4-bb89-ae21421e4acb,Owner 6566,+91XXXXXXXXXX,,New York,IN,Seller,Generated
4a85912c-ca81-40ca-98f2-c02a99b37a67,Owner 3222,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
01334e3f-4769-4adb-89c9-7f006d024530,Owner 114,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
3e467418-0bf5-49cc-84e5-ed2beff675b6,Owner 2053,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
03003b1b-7580-410c-9e9e-0c55c10b2f41,Owner 4078,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
